benchmark,solver,"wallclock time",result,exprs-total-size
General-Track/array_search_10.sl,EUSolver,14.9646,correct,51
General-Track/array_search_11.sl,EUSolver,20.107,correct,56
General-Track/array_search_12.sl,EUSolver,23.6746,correct,61
General-Track/array_search_13.sl,EUSolver,32.9254,correct,66
General-Track/array_search_14.sl,EUSolver,40.5905,correct,71
General-Track/array_search_15.sl,EUSolver,61.9073,correct,76
General-Track/array_search_2.sl,EUSolver,0.887698,correct,11
General-Track/array_search_3.sl,EUSolver,1.26885,correct,16
General-Track/array_search_4.sl,EUSolver,1.81306,correct,21
General-Track/array_search_5.sl,EUSolver,2.46398,correct,26
General-Track/array_search_6.sl,EUSolver,3.07886,correct,31
General-Track/array_search_7.sl,EUSolver,4.6254,correct,36
General-Track/array_search_8.sl,EUSolver,7.82694,correct,41
General-Track/array_search_9.sl,EUSolver,10.7026,correct,46
General-Track/array_sum_10_15.sl,EUSolver,3600.1,unsolved,0
General-Track/array_sum_10_5.sl,EUSolver,3600.11,unsolved,0
General-Track/array_sum_2_15.sl,EUSolver,0.612056,correct,38
General-Track/array_sum_2_5.sl,EUSolver,0.607526,correct,18
General-Track/array_sum_3_15.sl,EUSolver,0.673365,correct,223
General-Track/array_sum_3_5.sl,EUSolver,0.678151,correct,103
General-Track/array_sum_4_15.sl,EUSolver,0.912028,correct,6978
General-Track/array_sum_4_5.sl,EUSolver,0.791062,correct,1518
General-Track/array_sum_5_15.sl,EUSolver,54.5778,correct,6284205
General-Track/array_sum_6_15.sl,EUSolver,3600.1,unsolved,0
General-Track/array_sum_6_5.sl,EUSolver,3600.03,unsolved,0
General-Track/array_sum_7_15.sl,EUSolver,3600.02,unsolved,0
General-Track/array_sum_7_5.sl,EUSolver,3600.02,unsolved,0
General-Track/array_sum_8_15.sl,EUSolver,3600.02,unsolved,0
General-Track/array_sum_8_5.sl,EUSolver,3600.11,unsolved,0
General-Track/array_sum_9_15.sl,EUSolver,3600.05,unsolved,0
General-Track/array_sum_9_5.sl,EUSolver,3600.02,unsolved,0
General-Track/commutative.sl,EUSolver,0.91491,correct,3
General-Track/constant.sl,EUSolver,0.684023,correct,1
General-Track/eightfuncs.sl,EUSolver,3600.03,unsolved,0
General-Track/fivefuncs-copy.sl,EUSolver,3600.1,unsolved,0
General-Track/fivefuncs.sl,EUSolver,3600.06,unsolved,0
General-Track/General_plus10.sl,EUSolver,0.582997,smt_issues,2
General-Track/hd-01-d1-prog.sl,EUSolver,0.603414,correct,5
General-Track/hd-01-d5-prog.sl,EUSolver,14.5422,correct,5
