x_0 f(x)
1 0.014018
2 0.014261
3 0.014461
4 0.014581
5 0.014617
6 0.014842
7 0.016269
8 0.016472
9 0.016538
10 0.016732
11 0.016884
12 0.017132
13 0.017776
14 0.018865
15 0.018948
16 0.018955
17 0.019199
18 0.019847
19 0.02362
20 0.024145
21 0.024326
22 0.024606
23 0.024787
24 0.025544
25 0.027488
26 0.028512
27 0.030262
28 0.030422
29 0.030643
30 0.033745
31 0.034719
32 0.037562
33 0.037683
34 0.039193
35 0.040474
36 0.040959
37 0.041326
38 0.043219
39 0.045632
40 0.048905
41 0.051622
42 0.052267
43 0.055001
44 0.055177
45 0.061201
46 0.063335
47 0.066
48 0.069319
49 0.070664
50 0.080556
51 0.087559
52 0.088977
53 0.088994
54 0.0899
55 0.101948
56 0.106657
57 0.108067
58 0.111659
59 0.116924
60 0.218949
61 0.219738
62 0.236972
63 0.23851
64 0.324321
65 0.586107
66 1.00285
67 1.8631
68 3.08624
69 5.14651
70 6.06116
71 6.26553
72 31.9003
73 39.8621
