x_0 f(x)
1 0.55711
2 0.557256
3 0.600538
4 0.601366
5 0.615441
6 0.627321
7 0.639489
8 0.648797
9 0.652133
10 0.654474
11 0.659783
12 0.66256
13 0.662948
14 0.668732
15 0.670664
16 0.673114
17 0.675652
18 0.677622
19 0.707084
20 0.711562
21 0.739896
22 0.747488
23 0.760658
24 0.763131
25 0.766864
26 0.771873
27 0.776956
28 0.777858
29 0.835
30 0.841525
31 0.849096
32 0.890246
33 0.907551
34 1.13282
35 1.14132
36 1.21455
37 1.44352
38 1.63909
39 1.74337
40 1.93225
41 2.14244
42 2.43553
43 2.46559
44 2.76534
45 2.94503
46 3.68251
47 3.69373
48 3.9229
49 4.9059
50 5.30314
51 5.42777
52 5.46051
53 6.77377
54 6.844
55 6.94829
56 9.19001
57 9.68197
58 9.94357
59 10.0452
60 12.1172
61 12.1867
62 13.5759
63 16.1085
64 17.9572
65 20.8199
66 26.2331
67 27.9871
68 28.0218
69 30.3172
70 34.6564
71 35.6529
72 233.376
